faust_number,isbn,book_title,book_author
48121543,,Meter i sekundet,Stine Pilgaard
47109353,,Hvor flodkrebsene synger,Delia Owens
39190001,,Opløst,"Sara Blædel,Mads Peder Nordbo"
53132286,9788763849753,Ternet Ninja. 1,Anders Matthesen
47051649,,Pigen under træet,Sara Blædel
48648762,,Den tavse enke,Sara Blædel
47678633,,Satans sommer,"Kim Faber,Janni Pedersen (f. 1968)"
39615495,,Natrium Chlorid,Jussi Adler-Olsen
46656172,,Solsøsteren,Lucinda Riley
38500775,,Den forsvundne søster,Lucinda Riley
47548764,,Tabita,Iben Mondrup
62591943,,Annas sang,Benjamin Koppel
39185474,,Kvæler,"Kim Faber,Janni Pedersen (f. 1968)"
52650690,9788763849746,Ternet Ninja. 1,Anders Matthesen
54189214,,Søstrene fra Thy,Maria Helleberg
46670051,,Sallys far er langt ude i skoven,Thomas Brunstrøm
47073367,,Sommerfugleværelset,Lucinda Riley
46282736,,Vinterland,"Kim Faber,Janni Pedersen (f. 1968)"
38609718,,Pigen fra det store hvide skib,"Jesper Bugge Kold,Mich Vraa"
47537339,9788763862042,Ternet Ninja. 2,Anders Matthesen
47684323,,Mysteriet i Genbrugsen,Anna Grue
53900208,9788771655155,Kaninen der så gerne ville sove,Carl-Johan Forssén Ehrlin
48648797,,Isola,Katrine Engberg
48671098,,Sallys far har mandeinfluenza,Thomas Brunstrøm
46897862,,Vådeskud,Katrine Engberg
48839703,,Hvide blomster,Sissel-Jo Gazan
62199733,,Mord på kostskolen,Lucinda Riley
51088077,9788711382462,Den store Prop og Berta bog. 1,Bent Solhof
48839797,,Nattens udyr,Michael Katz Krefeld
61510141,,Vand til blomster,Valérie Perrin
38748424,,Kvinde set fra ryggen,Jesper Wung-Sung
38380176,,Sallys far er en dårlig taber,Thomas Brunstrøm
46272048,,Offer 2117,Jussi Adler-Olsen
54997752,9788793681194,Kunsten at være f*cking ligeglad,Mark Manson (f. 1984)
53366775,9788711783269,Dit selvhelbredende sind,Mette Louise Holland
27445098,9788702073423,Ellen Hillingsø læser Ronja Røverdatter,Astrid Lindgren
46411005,,Helenas hemmelighed,Lucinda Riley
47385555,,Skyggedanseren,Sara Omar
52476569,9788711669396,Verdens 100 farligste dyr,Sebastian Klein
39081253,,Sallys far bliver youtuber,Thomas Brunstrøm
48888445,,Kaptajnen og Ann Barbara,Ida Jessen (f. 1964)
53727999,9788793447264,Sallys far-bøgerne,Thomas Brunstrøm
48487327,,Det er de danske som flygter,"Lise Ringhof,Erik Valeur"
48488161,,Som natten kender stjernerne,Elsebeth Egholm
47588529,,"Indtil vanvid, indtil døden",Kirsten Thorup
48839711,,Rampen,Jesper Stein
47079888,,Skytsengel,Michael Katz Krefeld
46831438,,Ræk mig stjernerne,Jojo Moyes
27444806,9788702073416,Ellen Hillingsø læser Brødrene Løvehjerte,Astrid Lindgren
52956919,9788711738627,Hvis der skulle komme et menneske forbi,Thomas Korsgaard (f. 1995)
47239893,,En lykkelig slutning,Maren Uthaug
61383921,,Imperiet,Michael Katz Krefeld
29283079,9788702127140,Liv på spil,Søren Jessen (f. 1963)
52557240,,De syv søstre,Lucinda Riley
134692448,,Elins død,Sara Blædel
48486789,,Vinger af sølv,Camilla Läckberg
52673542,,Kvinderne fra Thy,Maria Helleberg
46370678,,Det gyldne bur,Camilla Läckberg
47763509,,Vildskud,Julie Hastrup
46944569,,Frank vender hjem,Kristian Bang Foss
134490012,,Det brændende blad,Katrine Engberg
134015012,,Skyggeriget,
27320791,9788702048032,Orla Frø-Snapper,Ole Lund Kirkegaard
48295622,,Jeg kan se dig,Mari Jungstedt
61586725,,Barnet fra Thy,Maria Helleberg
47995655,9788702301397,Skammerens datter,Lene Kaaberbøl
62356456,,Den røde glente,Elsebeth Egholm
27302963,9788702048070,Otto er et næsehorn,Ole Lund Kirkegaard
61473297,,Polarcirklen,Liza Marklund
48486762,,Kongeriget,Jo Nesbø
62208066,,Lenins bodyguard,Leif Davidsen
54945094,,Mørket kalder,Michael Katz Krefeld
62267054,,Tre dage i april,"Jesper Bugge Kold,Mich Vraa"
53787452,,"Den, der lever stille",Leonora Christina Skov
39074184,,Døden i kurbadet,Anna Grue
54189141,,Månesøsteren,Lucinda Riley
52088437,,Mimbo Jimbo bygger et fyrtårn,Jakob Martin Strid
134136391,,11%,Maren Uthaug
